"Label (Grouping)","Total:!!1, detached","Total:!!1, attached","Total:!!2","Total:!!3 or 4","Total:!!5 to 9","Total:!!10 to 19","Total:!!20 to 49","Total:!!50 or more","Total:!!Mobile home","Total:!!Boat, RV, van, etc."
"Census Tract 209.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","876","4","36","0","0","0","0","0","0","0"
"Census Tract 209.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,289","43","0","0","0","0","0","0","0","0"
"Census Tract 210.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,764","11","10","58","48","131","243","321","0","0"
"Census Tract 210.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","481","23","7","9","6","56","54","263","0","0"
"Census Tract 211, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","616","82","53","0","10","17","65","0","4","0"
"Census Tract 212, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,556","129","0","42","62","40","70","31","0","10"
"Census Tract 213, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","904","186","0","24","55","319","191","679","0","0"
"Census Tract 214, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,195","69","31","0","0","0","23","6","0","0"
"Census Tract 215.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","809","48","0","7","98","91","321","280","0","0"
"Census Tract 215.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","303","146","0","0","80","184","255","650","0","0"
"Census Tract 215.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,098","49","0","0","16","369","278","260","0","0"
"Census Tract 215.04, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","979","150","23","6","71","65","55","143","0","0"
"Census Tract 215.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,056","90","36","35","0","107","298","252","0","0"
"Census Tract 216.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,259","250","0","16","81","158","44","103","0","0"
"Census Tract 216.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,489","188","0","16","118","171","99","578","18","0"
"Census Tract 217, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,927","124","27","8","40","52","0","0","0","0"
"Census Tract 218, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","827","8","8","8","0","13","57","147","0","0"
"Census Tract 219, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","991","73","40","0","0","84","122","161","10","0"
"Census Tract 220, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","157","182","13","27","317","105","85","115","0","0"
"Census Tract 221.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","688","35","12","16","74","60","204","228","0","0"
"Census Tract 221.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","598","116","0","19","38","95","261","182","0","0"
"Census Tract 222, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,231","51","0","17","125","43","147","555","0","0"
"Census Tract 223.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","563","251","18","0","0","8","51","214","0","0"
"Census Tract 223.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","437","55","17","0","69","384","428","117","0","0"
"Census Tract 224, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,271","66","28","0","44","163","66","16","0","0"
"Census Tract 227, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,020","168","6","0","6","246","177","312","0","0"
"Census Tract 228.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","772","46","5","0","0","0","0","0","0","0"
"Census Tract 228.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","423","36","49","40","190","256","352","579","0","0"
"Census Tract 229.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","858","49","13","0","52","279","265","1,497","16","0"
"Census Tract 229.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","660","0","0","6","0","26","6","12","0","0"
"Census Tract 230, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","941","257","124","0","59","351","57","618","0","0"
"Census Tract 231, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","629","5","10","6","12","0","0","5","0","0"
"Census Tract 232, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","543","262","86","115","74","193","513","1,143","0","0"
"Census Tract 233, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,217","124","51","36","14","381","404","365","0","0"
"Census Tract 234, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","731","267","0","163","661","78","336","541","0","0"
"Census Tract 235.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,059","22","21","19","0","12","131","598","0","0"
"Census Tract 235.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,451","281","51","96","42","15","359","304","37","0"
"Census Tract 236, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,139","31","40","0","13","23","88","0","25","0"
"Census Tract 237, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,570","120","21","19","0","20","71","128","0","0"
"Census Tract 238.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,682","73","20","31","0","52","26","51","10","0"
"Census Tract 238.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,015","68","33","0","0","0","0","9","0","0"
"Census Tract 239.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,260","0","5","0","8","0","24","0","0","0"
"Census Tract 239.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","616","77","0","0","0","0","0","0","0","0"
"Census Tract 239.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","707","254","0","4","16","8","148","499","0","0"
"Census Tract 240.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","693","114","0","12","23","241","328","831","0","0"
"Census Tract 240.04, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","131","213","22","58","119","169","459","1,637","0","0"
"Census Tract 240.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","70","130","23","6","111","149","194","637","0","0"
"Census Tract 240.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","663","0","0","0","6","5","6","145","0","0"
"Census Tract 241, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,192","48","22","34","35","103","121","9","0","0"
"Census Tract 242, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,333","0","0","10","26","8","0","0","0","0"
"Census Tract 243, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","668","46","31","42","98","248","123","807","0","0"
"Census Tract 244, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","542","53","94","0","68","166","279","1,197","0","0"
"Census Tract 245, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","886","40","4","4","0","0","0","0","0","0"
"Census Tract 246, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","951","65","45","0","20","223","277","276","45","0"
"Census Tract 247, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,199","22","9","0","25","48","25","0","17","0"
"Census Tract 248.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","652","27","5","0","37","211","0","0","0","0"
"Census Tract 248.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","614","0","0","0","0","150","195","238","0","0"
"Census Tract 249.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","381","0","0","0","0","9","0","0","12","0"
"Census Tract 249.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","658","0","4","0","32","125","31","6","0","0"
"Census Tract 249.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","555","28","16","7","12","119","81","32","0","0"
"Census Tract 251, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","278","33","0","0","40","167","334","568","0","0"
"Census Tract 252.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,048","101","38","28","112","236","277","52","0","0"
"Census Tract 252.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,680","102","0","49","0","50","108","62","0","0"
"Census Tract 253.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","879","29","0","0","0","0","54","371","0","0"
"Census Tract 253.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,034","91","0","10","24","204","288","187","81","0"
"Census Tract 254.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,340","9","9","9","26","129","60","80","0","0"
"Census Tract 254.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","711","41","19","61","44","102","467","394","0","0"
"Census Tract 256.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","724","55","11","0","0","48","30","250","0","0"
"Census Tract 256.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,348","105","0","6","0","54","70","84","16","0"
"Census Tract 256.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","873","0","7","0","17","58","392","393","16","0"
"Census Tract 257.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,536","154","14","97","44","29","386","840","0","0"
"Census Tract 257.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,399","63","0","42","22","138","154","268","22","0"
"Census Tract 258.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","657","137","0","39","33","0","265","501","0","0"
"Census Tract 258.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","898","49","5","0","0","0","0","0","0","0"
"Census Tract 258.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","963","74","0","0","0","59","182","67","0","0"
"Census Tract 258.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","904","93","11","0","10","0","26","30","0","0"
"Census Tract 259.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,522","813","0","24","26","69","166","230","0","0"
"Census Tract 259.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,066","178","0","0","0","0","21","500","0","27"
"Census Tract 259.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,119","580","0","112","68","37","179","752","0","0"
"Census Tract 259.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,110","648","16","121","99","133","47","15","0","0"
"Census Tract 260.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,036","277","8","27","10","40","98","80","9","0"
"Census Tract 260.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","543","419","19","53","91","120","67","87","0","0"
"Census Tract 260.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","705","368","22","33","52","8","233","622","7","0"
"Census Tract 260.13, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,460","92","9","33","24","0","0","10","0","0"
"Census Tract 260.14, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,592","323","0","33","25","0","8","21","0","0"
"Census Tract 260.15, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,487","409","39","39","107","13","7","23","7","0"
"Census Tract 260.16, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,482","1,095","0","175","0","19","12","210","0","0"
"Census Tract 260.18, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,017","483","0","0","39","25","42","14","0","0"
"Census Tract 260.19, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","151","289","29","41","33","55","229","1,865","0","0"
"Census Tract 260.20, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","537","677","39","17","221","166","148","348","28","0"
"Census Tract 260.21, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","992","542","0","0","0","23","7","75","0","0"
"Census Tract 260.22, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,691","477","0","53","54","21","0","0","0","0"
"Census Tract 261.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,074","87","0","16","0","7","125","8","0","0"
"Census Tract 261.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,041","105","0","0","0","0","28","0","0","0"
"Census Tract 261.04, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","230","618","0","278","145","65","300","823","0","14"
"Census Tract 262.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,056","105","15","6","0","0","0","0","6","0"
"Census Tract 262.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","966","111","31","7","0","13","0","54","0","0"
"Census Tract 262.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","983","192","30","32","13","13","20","9","9","0"
"Census Tract 262.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,064","11","9","0","10","9","39","373","0","0"
"Census Tract 262.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","829","444","0","52","0","11","224","294","0","0"
"Census Tract 262.08, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,060","35","0","0","0","12","44","90","0","0"
"Census Tract 263.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","986","0","0","0","10","8","137","419","0","0"
"Census Tract 263.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,194","159","0","0","24","0","0","17","26","0"
"Census Tract 264.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","850","218","12","0","35","61","474","1,817","0","0"
"Census Tract 264.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","427","218","0","25","16","22","216","754","0","0"
"Census Tract 264.04, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,548","232","34","60","0","28","346","207","0","0"
"Census Tract 265.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","955","294","0","0","18","0","0","268","0","0"
"Census Tract 265.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,037","235","17","0","31","122","99","695","15","0"
"Census Tract 265.08, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,137","695","10","32","75","0","98","280","0","0"
"Census Tract 265.09, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,627","145","0","0","0","11","0","0","0","0"
"Census Tract 265.10, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","617","44","0","0","11","51","542","531","0","0"
"Census Tract 265.11, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","677","0","9","38","0","34","433","440","0","0"
"Census Tract 265.12, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,522","104","39","32","83","11","93","796","0","0"
"Census Tract 265.14, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","429","298","22","18","38","58","271","1,217","19","0"
"Census Tract 266.05, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","936","282","0","42","2","0","43","98","0","0"
"Census Tract 266.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,503","8","17","0","0","5","34","315","0","0"
"Census Tract 266.09, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","966","231","6","0","0","0","0","0","15","0"
"Census Tract 266.10, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,392","291","23","23","0","0","19","0","0","0"
"Census Tract 266.11, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","875","899","0","202","188","123","30","149","0","0"
"Census Tract 266.12, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,015","1,314","0","13","106","15","172","380","0","0"
"Census Tract 266.13, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,281","1,058","16","50","23","0","71","140","0","0"
"Census Tract 267.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","587","48","0","33","9","184","184","178","0","0"
"Census Tract 267.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,139","204","0","9","0","0","0","0","0","0"
"Census Tract 267.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,829","26","0","0","0","0","0","0","0","0"
"Census Tract 267.08, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,482","645","0","18","0","0","0","131","0","0"
"Census Tract 267.10, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,776","1,213","12","65","342","121","62","165","0","0"
"Census Tract 267.11, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","639","603","0","64","15","0","0","0","0","10"
"Census Tract 267.12, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","689","452","0","0","0","0","32","256","0","0"
"Census Tract 267.13, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,143","370","0","138","63","0","88","109","0","0"
"Census Tract 267.14, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,988","1,275","0","0","80","40","103","489","0","0"
"Census Tract 267.15, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","3,516","1,164","0","48","32","0","0","0","0","0"
"Census Tract 267.16, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,505","310","0","0","0","0","0","0","0","0"
"Census Tract 268.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,460","92","30","53","0","128","196","378","13","0"
"Census Tract 268.09, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","350","154","38","0","43","387","446","469","0","0"
"Census Tract 268.10, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","828","481","0","38","1","127","635","294","0","0"
"Census Tract 268.11, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,170","607","55","50","0","33","0","0","0","0"
"Census Tract 268.12, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,342","644","0","28","42","0","27","32","0","0"
"Census Tract 268.14, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,848","285","0","0","56","0","0","14","16","0"
"Census Tract 268.15, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,467","29","15","11","12","52","62","176","0","0"
"Census Tract 268.16, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,525","513","28","118","23","39","83","71","0","0"
"Census Tract 268.18, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,130","133","57","21","22","136","157","92","0","0"
"Census Tract 268.19, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","256","323","0","43","38","44","270","1,190","0","0"
"Census Tract 268.20, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,997","796","0","0","49","13","14","115","0","0"
"Census Tract 268.22, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,418","257","22","0","0","0","7","264","0","0"
"Census Tract 268.23, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,267","192","5","0","0","0","0","0","0","0"
"Census Tract 269.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,013","173","29","37","28","105","145","179","0","0"
"Census Tract 269.06, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,243","507","52","0","40","13","0","0","0","0"
"Census Tract 269.07, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,318","497","0","27","0","10","138","57","0","0"
"Census Tract 269.08, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,019","174","0","0","80","0","19","0","0","0"
"Census Tract 269.09, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","3,247","501","0","29","0","46","57","343","5","0"
"Census Tract 269.10, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,514","17","0","0","17","0","0","0","175","0"
"Census Tract 270.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","923","83","0","0","0","0","53","16","80","0"
"Census Tract 270.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,932","15","3","3","24","81","116","3","3","0"
"Census Tract 271.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,814","102","0","45","10","35","35","120","0","0"
"Census Tract 271.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,731","6","0","0","11","0","0","0","201","0"
"Census Tract 272.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","2,508","55","0","7","0","0","0","251","0","0"
"Census Tract 272.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","476","71","6","26","27","83","54","3","3","0"
"Census Tract 272.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,053","146","15","10","4","48","197","542","26","0"
"Census Tract 273, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,043","343","18","27","35","96","239","446","0","0"
"Census Tract 274, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,563","26","0","9","0","0","0","0","0","0"
"Census Tract 275.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,437","68","41","69","41","200","294","117","0","4"
"Census Tract 275.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,363","130","17","10","12","32","12","11","11","0"
"Census Tract 275.04, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,025","204","22","0","0","29","0","24","0","0"
"Census Tract 276.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,330","70","0","47","40","113","167","51","9","0"
"Census Tract 276.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,830","138","15","25","49","71","230","142","0","0"
"Census Tract 277, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","3,039","211","4","18","0","5","4","23","52","0"
"Census Tract 1002, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,223","4","85","23","33","69","43","235","5","0"
