"Label (Grouping)","Median value (dollars)"
"    Estimate","257,800"
"Census Tract 234.01, Hennepin County, Minnesota",""
"    Estimate","140,000"
"Census Tract 234.02, Hennepin County, Minnesota",""
"    Estimate","369,700"
"Census Tract 235.01, Hennepin County, Minnesota",""
"    Estimate","347,100"
"Census Tract 235.02, Hennepin County, Minnesota",""
"    Estimate","534,500"
"Census Tract 236, Hennepin County, Minnesota",""
"    Estimate","1,003,500"
"Census Tract 237, Hennepin County, Minnesota",""
"    Estimate","475,200"
"Census Tract 238.01, Hennepin County, Minnesota",""
"    Estimate","591,300"
"Census Tract 238.02, Hennepin County, Minnesota",""
"    Estimate","424,100"
"Census Tract 239.01, Hennepin County, Minnesota",""
"    Estimate","530,900"
"Census Tract 239.02, Hennepin County, Minnesota",""
"    Estimate","682,500"
"Census Tract 239.03, Hennepin County, Minnesota",""
"    Estimate","485,600"
"Census Tract 240.03, Hennepin County, Minnesota",""
"    Estimate","458,800"
"Census Tract 240.04, Hennepin County, Minnesota",""
"    Estimate","167,400"
"Census Tract 240.05, Hennepin County, Minnesota",""
"    Estimate","158,100"
"Census Tract 240.06, Hennepin County, Minnesota",""
"    Estimate","494,200"
"Census Tract 241, Hennepin County, Minnesota",""
"    Estimate","272,700"
"Census Tract 242, Hennepin County, Minnesota",""
"    Estimate","252,800"
"Census Tract 243, Hennepin County, Minnesota",""
"    Estimate","250,700"
"Census Tract 244, Hennepin County, Minnesota",""
"    Estimate","197,000"
"Census Tract 245, Hennepin County, Minnesota",""
"    Estimate","261,700"
"Census Tract 246, Hennepin County, Minnesota",""
"    Estimate","230,900"
"Census Tract 247, Hennepin County, Minnesota",""
"    Estimate","242,600"
"Census Tract 248.01, Hennepin County, Minnesota",""
"    Estimate","230,000"
"Census Tract 248.02, Hennepin County, Minnesota",""
"    Estimate","232,800"
"Census Tract 249.03, Hennepin County, Minnesota",""
"    Estimate","225,900"
"Census Tract 249.04, Hennepin County, Minnesota",""
"    Estimate","230,800"
"Census Tract 251, Hennepin County, Minnesota",""
"    Estimate","249,600"
"Census Tract 252.01, Hennepin County, Minnesota",""
"    Estimate","225,000"
"Census Tract 252.05, Hennepin County, Minnesota",""
"    Estimate","219,600"
"Census Tract 253.01, Hennepin County, Minnesota",""
"    Estimate","312,300"
"Census Tract 253.02, Hennepin County, Minnesota",""
"    Estimate","243,700"
"Census Tract 254.01, Hennepin County, Minnesota",""
"    Estimate","211,200"
"Census Tract 254.03, Hennepin County, Minnesota",""
"    Estimate","230,500"
"Census Tract 256.01, Hennepin County, Minnesota",""
"    Estimate","257,100"
"Census Tract 256.03, Hennepin County, Minnesota",""
"    Estimate","258,700"
"Census Tract 256.05, Hennepin County, Minnesota",""
"    Estimate","273,800"
"Census Tract 257.02, Hennepin County, Minnesota",""
"    Estimate","311,300"
"Census Tract 257.03, Hennepin County, Minnesota",""
"    Estimate","336,600"
"Census Tract 257.04, Hennepin County, Minnesota",""
"    Estimate","311,900"
"Census Tract 258.01, Hennepin County, Minnesota",""
"    Estimate","271,900"
"Census Tract 258.02, Hennepin County, Minnesota",""
"    Estimate","265,800"
"Census Tract 258.03, Hennepin County, Minnesota",""
"    Estimate","240,500"
"Census Tract 258.05, Hennepin County, Minnesota",""
"    Estimate","295,200"
"Census Tract 259.05, Hennepin County, Minnesota",""
"    Estimate","379,900"
"Census Tract 259.06, Hennepin County, Minnesota",""
"    Estimate","290,700"
"Census Tract 259.07, Hennepin County, Minnesota",""
"    Estimate","260,700"
"Census Tract 259.08, Hennepin County, Minnesota",""
"    Estimate","340,800"
"Census Tract 259.09, Hennepin County, Minnesota",""
"    Estimate","324,600"
"Census Tract 260.05, Hennepin County, Minnesota",""
"    Estimate","317,900"
"Census Tract 260.06, Hennepin County, Minnesota",""
"    Estimate","283,600"
"Census Tract 260.07, Hennepin County, Minnesota",""
"    Estimate","405,900"
"Census Tract 260.13, Hennepin County, Minnesota",""
"    Estimate","362,200"
"Census Tract 260.14, Hennepin County, Minnesota",""
"    Estimate","365,400"
"Census Tract 260.15, Hennepin County, Minnesota",""
"    Estimate","354,200"
"Census Tract 260.19, Hennepin County, Minnesota",""
"    Estimate","225,200"
"Census Tract 260.20, Hennepin County, Minnesota",""
"    Estimate","323,000"
