"Label (Grouping)","Total:!!1, detached","Total:!!1, attached","Total:!!2","Total:!!3 or 4","Total:!!5 to 9","Total:!!10 to 19","Total:!!20 to 49","Total:!!50 or more","Total:!!Mobile home","Total:!!Boat, RV, van, etc."
"Census Tract 1.01; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","1,122","32","21","0","0","0","0","0","13","0"
"Census Tract 1.02; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","1,532","90","110","0","0","12","31","137","0","17"
"Census Tract 3; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","1,188","7","86","25","9","14","0","0","9","0"
"Census Tract 6.01; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","1,712","58","188","0","0","74","18","9","0","0"
"Census Tract 6.03; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","1,358","33","8","0","0","6","0","0","22","0"
"Census Tract 11; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","436","33","342","51","0","5","59","4","0","0"
"Census Tract 17; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","287","103","445","54","14","79","24","30","0","0"
"Census Tract 22; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","225","6","126","21","0","0","0","0","9","0"
"Census Tract 24; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","361","48","294","130","51","85","139","365","0","0"
"Census Tract 27; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","706","18","34","31","0","30","40","16","0","0"
"Census Tract 32; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","500","11","110","0","3","74","0","0","0","0"
"Census Tract 33; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","386","45","201","74","9","50","0","0","12","0"
"Census Tract 38.01; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","51","49","121","195","148","388","342","307","0","0"
"Census Tract 38.02; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","26","100","79","25","108","158","87","479","0","0"
"Census Tract 59.01; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","4","8","13","159","74","209","389","812","36","0"
"Census Tract 59.02; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","28","23","108","219","30","242","499","87","0","0"
"Census Tract 68; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","204","54","122","252","100","582","771","355","0","0"
"Census Tract 77; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","129","82","31","214","38","228","952","1,846","0","0"
"Census Tract 78.01; Hennepin County; Minnesota","","","","","","","","","",""
"    Estimate","99","25","47","26","129","99","125","141","0","0"
