"Label (Grouping)","Median value (dollars)"
"Census Tract 1.01; Hennepin County; Minnesota",""
"    Estimate","214,400"
"Census Tract 1.02; Hennepin County; Minnesota",""
"    Estimate","219,300"
"Census Tract 3; Hennepin County; Minnesota",""
"    Estimate","255,900"
"Census Tract 6.01; Hennepin County; Minnesota",""
"    Estimate","287,600"
"Census Tract 6.03; Hennepin County; Minnesota",""
"    Estimate","294,100"
"Census Tract 11; Hennepin County; Minnesota",""
"    Estimate","288,100"
"Census Tract 17; Hennepin County; Minnesota",""
"    Estimate","320,100"
"Census Tract 22; Hennepin County; Minnesota",""
"    Estimate","176,700"
"Census Tract 24; Hennepin County; Minnesota",""
"    Estimate","320,300"
"Census Tract 27; Hennepin County; Minnesota",""
"    Estimate","229,400"
"Census Tract 32; Hennepin County; Minnesota",""
"    Estimate","253,800"
"Census Tract 33; Hennepin County; Minnesota",""
"    Estimate","229,500"
"Census Tract 38.01; Hennepin County; Minnesota",""
"    Estimate","-"
"Census Tract 38.02; Hennepin County; Minnesota",""
"    Estimate","-"
"Census Tract 59.01; Hennepin County; Minnesota",""
"    Estimate","341,200"
"Census Tract 59.02; Hennepin County; Minnesota",""
"    Estimate","171,400"
"Census Tract 68; Hennepin County; Minnesota",""
"    Estimate","388,900"
"Census Tract 77; Hennepin County; Minnesota",""
"    Estimate","386,200"
"Census Tract 78.01; Hennepin County; Minnesota",""
"    Estimate","278,800"
"Census Tract 81; Hennepin County; Minnesota",""
"    Estimate","397,700"
"Census Tract 82; Hennepin County; Minnesota",""
"    Estimate","317,900"
"Census Tract 83; Hennepin County; Minnesota",""
"    Estimate","308,400"
"Census Tract 84; Hennepin County; Minnesota",""
"    Estimate","301,700"
"Census Tract 85; Hennepin County; Minnesota",""
"    Estimate","304,500"
"Census Tract 95; Hennepin County; Minnesota",""
"    Estimate","251,300"
"Census Tract 96; Hennepin County; Minnesota",""
"    Estimate","271,400"
"Census Tract 106; Hennepin County; Minnesota",""
"    Estimate","721,400"
"Census Tract 107; Hennepin County; Minnesota",""
"    Estimate","633,100"
"Census Tract 110; Hennepin County; Minnesota",""
"    Estimate","334,000"
"Census Tract 117.03; Hennepin County; Minnesota",""
"    Estimate","419,800"
"Census Tract 117.04; Hennepin County; Minnesota",""
"    Estimate","415,800"
"Census Tract 118; Hennepin County; Minnesota",""
"    Estimate","353,100"
"Census Tract 119.98; Hennepin County; Minnesota",""
"    Estimate","286,200"
"Census Tract 120.01; Hennepin County; Minnesota",""
"    Estimate","393,400"
"Census Tract 120.03; Hennepin County; Minnesota",""
"    Estimate","373,400"
"Census Tract 121.01; Hennepin County; Minnesota",""
"    Estimate","326,100"
"Census Tract 121.02; Hennepin County; Minnesota",""
"    Estimate","266,500"
"Census Tract 201.01; Hennepin County; Minnesota",""
"    Estimate","389,100"
"Census Tract 201.02; Hennepin County; Minnesota",""
"    Estimate","351,100"
"Census Tract 202.01; Hennepin County; Minnesota",""
"    Estimate","220,600"
"Census Tract 202.02; Hennepin County; Minnesota",""
"    Estimate","257,900"
"Census Tract 203.01; Hennepin County; Minnesota",""
"    Estimate","229,900"
"Census Tract 203.02; Hennepin County; Minnesota",""
"    Estimate","209,700"
"Census Tract 203.03; Hennepin County; Minnesota",""
"    Estimate","252,900"
"Census Tract 203.04; Hennepin County; Minnesota",""
"    Estimate","269,300"
"Census Tract 204; Hennepin County; Minnesota",""
"    Estimate","243,400"
"Census Tract 205; Hennepin County; Minnesota",""
"    Estimate","232,500"
"Census Tract 206; Hennepin County; Minnesota",""
"    Estimate","230,900"
"Census Tract 207; Hennepin County; Minnesota",""
"    Estimate","238,800"
"Census Tract 208.01; Hennepin County; Minnesota",""
"    Estimate","236,600"
"Census Tract 208.04; Hennepin County; Minnesota",""
"    Estimate","244,400"
"Census Tract 209.02; Hennepin County; Minnesota",""
"    Estimate","292,400"
"Census Tract 209.03; Hennepin County; Minnesota",""
"    Estimate","271,400"
"Census Tract 210.01; Hennepin County; Minnesota",""
"    Estimate","276,300"
"Census Tract 210.02; Hennepin County; Minnesota",""
"    Estimate","299,700"
"Census Tract 211; Hennepin County; Minnesota",""
"    Estimate","252,500"
