"Label (Grouping)","Total:!!Owner occupied","Total:!!Renter occupied"
"Census Tract 1.01, Hennepin County, Minnesota","",""
"    Estimate","886","179"
"Census Tract 1.02, Hennepin County, Minnesota","",""
"    Estimate","1,163","658"
"Census Tract 3, Hennepin County, Minnesota","",""
"    Estimate","1,127","235"
"Census Tract 6.01, Hennepin County, Minnesota","",""
"    Estimate","1,633","410"
"Census Tract 6.03, Hennepin County, Minnesota","",""
"    Estimate","1,094","142"
"Census Tract 11, Hennepin County, Minnesota","",""
"    Estimate","505","397"
"Census Tract 17, Hennepin County, Minnesota","",""
"    Estimate","456","499"
"Census Tract 22, Hennepin County, Minnesota","",""
"    Estimate","124","263"
"Census Tract 24, Hennepin County, Minnesota","",""
"    Estimate","325","905"
"Census Tract 27, Hennepin County, Minnesota","",""
"    Estimate","558","334"
"Census Tract 32, Hennepin County, Minnesota","",""
"    Estimate","383","212"
"Census Tract 33, Hennepin County, Minnesota","",""
"    Estimate","263","413"
"Census Tract 38, Hennepin County, Minnesota","",""
"    Estimate","131","2,120"
"Census Tract 59.01, Hennepin County, Minnesota","",""
"    Estimate","40","1,571"
"Census Tract 59.02, Hennepin County, Minnesota","",""
"    Estimate","87","937"
"Census Tract 68, Hennepin County, Minnesota","",""
"    Estimate","188","2,140"
"Census Tract 77, Hennepin County, Minnesota","",""
"    Estimate","172","2,200"
"Census Tract 78.01, Hennepin County, Minnesota","",""
"    Estimate","89","576"
"Census Tract 81, Hennepin County, Minnesota","",""
"    Estimate","542","1,274"
"Census Tract 82, Hennepin County, Minnesota","",""
"    Estimate","347","1,610"
"Census Tract 83, Hennepin County, Minnesota","",""
"    Estimate","224","377"
"Census Tract 84, Hennepin County, Minnesota","",""
"    Estimate","369","415"
"Census Tract 85, Hennepin County, Minnesota","",""
"    Estimate","545","1,006"
"Census Tract 95, Hennepin County, Minnesota","",""
"    Estimate","641","407"
"Census Tract 96, Hennepin County, Minnesota","",""
"    Estimate","955","433"
"Census Tract 106, Hennepin County, Minnesota","",""
"    Estimate","895","260"
"Census Tract 107, Hennepin County, Minnesota","",""
"    Estimate","745","205"
"Census Tract 110, Hennepin County, Minnesota","",""
"    Estimate","1,234","256"
"Census Tract 117.03, Hennepin County, Minnesota","",""
"    Estimate","1,557","107"
"Census Tract 117.04, Hennepin County, Minnesota","",""
"    Estimate","1,147","100"
"Census Tract 118, Hennepin County, Minnesota","",""
"    Estimate","1,896","166"
"Census Tract 119.98, Hennepin County, Minnesota","",""
"    Estimate","1,488","459"
"Census Tract 120.01, Hennepin County, Minnesota","",""
"    Estimate","2,034","365"
"Census Tract 120.03, Hennepin County, Minnesota","",""
"    Estimate","1,246","832"
"Census Tract 121.01, Hennepin County, Minnesota","",""
"    Estimate","706","607"
"Census Tract 121.02, Hennepin County, Minnesota","",""
"    Estimate","998","336"
"Census Tract 201.01, Hennepin County, Minnesota","",""
"    Estimate","1,134","86"
"Census Tract 201.02, Hennepin County, Minnesota","",""
"    Estimate","725","315"
"Census Tract 202, Hennepin County, Minnesota","",""
"    Estimate","1,068","1,551"
"Census Tract 203.01, Hennepin County, Minnesota","",""
"    Estimate","685","165"
"Census Tract 203.02, Hennepin County, Minnesota","",""
"    Estimate","584","327"
"Census Tract 203.03, Hennepin County, Minnesota","",""
"    Estimate","879","201"
"Census Tract 203.04, Hennepin County, Minnesota","",""
"    Estimate","733","419"
"Census Tract 204, Hennepin County, Minnesota","",""
"    Estimate","963","908"
"Census Tract 205, Hennepin County, Minnesota","",""
"    Estimate","965","245"
"Census Tract 206, Hennepin County, Minnesota","",""
"    Estimate","545","228"
"Census Tract 207, Hennepin County, Minnesota","",""
"    Estimate","1,390","320"
"Census Tract 208.01, Hennepin County, Minnesota","",""
"    Estimate","615","229"
"Census Tract 208.04, Hennepin County, Minnesota","",""
"    Estimate","772","507"
"Census Tract 209.02, Hennepin County, Minnesota","",""
"    Estimate","789","94"
"Census Tract 209.03, Hennepin County, Minnesota","",""
"    Estimate","1,130","127"
"Census Tract 210.01, Hennepin County, Minnesota","",""
"    Estimate","1,743","701"
"Census Tract 210.02, Hennepin County, Minnesota","",""
"    Estimate","446","432"
"Census Tract 211, Hennepin County, Minnesota","",""
"    Estimate","642","200"
"Census Tract 212, Hennepin County, Minnesota","",""
"    Estimate","1,495","357"
"Census Tract 213, Hennepin County, Minnesota","",""
"    Estimate","1,163","1,234"
"Census Tract 214, Hennepin County, Minnesota","",""
"    Estimate","947","323"
"Census Tract 215.01, Hennepin County, Minnesota","",""
"    Estimate","883","749"
"Census Tract 215.02, Hennepin County, Minnesota","",""
"    Estimate","426","1,086"
"Census Tract 215.03, Hennepin County, Minnesota","",""
"    Estimate","1,134","868"
"Census Tract 215.04, Hennepin County, Minnesota","",""
"    Estimate","1,062","338"
"Census Tract 215.05, Hennepin County, Minnesota","",""
"    Estimate","1,077","753"
"Census Tract 216.01, Hennepin County, Minnesota","",""
"    Estimate","1,554","358"
"Census Tract 216.02, Hennepin County, Minnesota","",""
"    Estimate","1,492","1,086"
"Census Tract 217, Hennepin County, Minnesota","",""
"    Estimate","2,040","169"
"Census Tract 218, Hennepin County, Minnesota","",""
"    Estimate","733","315"
"Census Tract 219, Hennepin County, Minnesota","",""
