"Label (Grouping)","Median household income in the past 12 months (in 2022 inflation-adjusted dollars)"
"Census Tract 233; Hennepin County; Minnesota",""
"    Estimate","75,991"
"Census Tract 234.01; Hennepin County; Minnesota",""
"    Estimate","66,413"
"Census Tract 234.02; Hennepin County; Minnesota",""
"    Estimate","105,606"
"Census Tract 235.01; Hennepin County; Minnesota",""
"    Estimate","92,200"
"Census Tract 235.02; Hennepin County; Minnesota",""
"    Estimate","123,667"
"Census Tract 236; Hennepin County; Minnesota",""
"    Estimate","250,000+"
"Census Tract 237; Hennepin County; Minnesota",""
"    Estimate","200,272"
"Census Tract 238.01; Hennepin County; Minnesota",""
"    Estimate","187,422"
"Census Tract 238.02; Hennepin County; Minnesota",""
"    Estimate","194,803"
"Census Tract 239.01; Hennepin County; Minnesota",""
"    Estimate","173,533"
"Census Tract 239.02; Hennepin County; Minnesota",""
"    Estimate","231,500"
"Census Tract 239.03; Hennepin County; Minnesota",""
"    Estimate","135,000"
"Census Tract 240.03; Hennepin County; Minnesota",""
"    Estimate","82,435"
"Census Tract 240.04; Hennepin County; Minnesota",""
"    Estimate","60,507"
"Census Tract 240.05; Hennepin County; Minnesota",""
"    Estimate","59,107"
"Census Tract 240.06; Hennepin County; Minnesota",""
"    Estimate","144,000"
"Census Tract 241; Hennepin County; Minnesota",""
"    Estimate","89,563"
"Census Tract 242; Hennepin County; Minnesota",""
"    Estimate","126,544"
"Census Tract 243; Hennepin County; Minnesota",""
"    Estimate","70,282"
"Census Tract 244; Hennepin County; Minnesota",""
"    Estimate","65,962"
"Census Tract 245; Hennepin County; Minnesota",""
"    Estimate","98,750"
"Census Tract 246; Hennepin County; Minnesota",""
"    Estimate","80,528"
"Census Tract 247; Hennepin County; Minnesota",""
"    Estimate","94,559"
"Census Tract 248.01; Hennepin County; Minnesota",""
"    Estimate","73,750"
"Census Tract 248.02; Hennepin County; Minnesota",""
"    Estimate","65,673"
"Census Tract 249.03; Hennepin County; Minnesota",""
"    Estimate","72,217"
"Census Tract 249.04; Hennepin County; Minnesota",""
"    Estimate","80,114"
"Census Tract 251; Hennepin County; Minnesota",""
"    Estimate","59,844"
"Census Tract 252.01; Hennepin County; Minnesota",""
"    Estimate","71,314"
"Census Tract 252.05; Hennepin County; Minnesota",""
"    Estimate","82,372"
"Census Tract 253.01; Hennepin County; Minnesota",""
"    Estimate","88,663"
"Census Tract 253.02; Hennepin County; Minnesota",""
"    Estimate","53,895"
"Census Tract 254.01; Hennepin County; Minnesota",""
"    Estimate","83,954"
"Census Tract 254.03; Hennepin County; Minnesota",""
"    Estimate","56,534"
"Census Tract 256.01; Hennepin County; Minnesota",""
"    Estimate","91,897"
"Census Tract 256.03; Hennepin County; Minnesota",""
"    Estimate","110,875"
"Census Tract 256.05; Hennepin County; Minnesota",""
"    Estimate","83,095"
"Census Tract 257.02; Hennepin County; Minnesota",""
"    Estimate","108,016"
"Census Tract 257.03; Hennepin County; Minnesota",""
"    Estimate","93,649"
"Census Tract 257.04; Hennepin County; Minnesota",""
"    Estimate","87,116"
"Census Tract 258.01; Hennepin County; Minnesota",""
"    Estimate","84,423"
"Census Tract 258.02; Hennepin County; Minnesota",""
"    Estimate","118,851"
"Census Tract 258.03; Hennepin County; Minnesota",""
"    Estimate","91,116"
"Census Tract 258.05; Hennepin County; Minnesota",""
"    Estimate","121,136"
"Census Tract 259.05; Hennepin County; Minnesota",""
"    Estimate","117,778"
"Census Tract 259.06; Hennepin County; Minnesota",""
"    Estimate","87,614"
"Census Tract 259.07; Hennepin County; Minnesota",""
"    Estimate","95,987"
"Census Tract 259.08; Hennepin County; Minnesota",""
"    Estimate","112,898"
"Census Tract 259.09; Hennepin County; Minnesota",""
"    Estimate","104,235"
"Census Tract 260.05; Hennepin County; Minnesota",""
"    Estimate","110,629"
"Census Tract 260.06; Hennepin County; Minnesota",""
"    Estimate","107,500"
"Census Tract 260.07; Hennepin County; Minnesota",""
"    Estimate","98,768"
"Census Tract 260.13; Hennepin County; Minnesota",""
"    Estimate","159,583"
"Census Tract 260.14; Hennepin County; Minnesota",""
"    Estimate","142,596"
"Census Tract 260.15; Hennepin County; Minnesota",""
"    Estimate","126,217"
"Census Tract 260.19; Hennepin County; Minnesota",""
"    Estimate","94,500"
"Census Tract 260.20; Hennepin County; Minnesota",""
"    Estimate","90,466"
"Census Tract 260.21; Hennepin County; Minnesota",""
"    Estimate","163,043"
"Census Tract 260.23; Hennepin County; Minnesota",""
"    Estimate","131,021"
"Census Tract 260.24; Hennepin County; Minnesota",""
"    Estimate","113,727"
"Census Tract 260.25; Hennepin County; Minnesota",""
"    Estimate","219,408"
"Census Tract 260.26; Hennepin County; Minnesota",""
"    Estimate","232,353"
"Census Tract 260.27; Hennepin County; Minnesota",""
"    Estimate","155,268"
"Census Tract 260.28; Hennepin County; Minnesota",""
"    Estimate","200,317"
"Census Tract 261.01; Hennepin County; Minnesota",""
"    Estimate","140,625"
"Census Tract 261.03; Hennepin County; Minnesota",""
"    Estimate","140,000"
"Census Tract 261.04; Hennepin County; Minnesota",""
"    Estimate","85,544"
"Census Tract 262.01; Hennepin County; Minnesota",""
"    Estimate","147,610"
"Census Tract 262.02; Hennepin County; Minnesota",""
"    Estimate","121,473"
"Census Tract 262.05; Hennepin County; Minnesota",""
"    Estimate","151,094"
"Census Tract 262.06; Hennepin County; Minnesota",""
"    Estimate","118,625"
"Census Tract 262.07; Hennepin County; Minnesota",""
"    Estimate","110,391"
"Census Tract 262.08; Hennepin County; Minnesota",""
"    Estimate","129,792"
"Census Tract 263.01; Hennepin County; Minnesota",""
"    Estimate","167,688"
"Census Tract 263.02; Hennepin County; Minnesota",""
"    Estimate","132,063"
"Census Tract 264.03; Hennepin County; Minnesota",""
"    Estimate","93,594"
"Census Tract 264.04; Hennepin County; Minnesota",""
"    Estimate","149,213"
"Census Tract 264.05; Hennepin County; Minnesota",""
"    Estimate","97,583"
"Census Tract 264.06; Hennepin County; Minnesota",""
"    Estimate","76,779"
"Census Tract 265.05; Hennepin County; Minnesota",""
"    Estimate","131,417"
"Census Tract 265.07; Hennepin County; Minnesota",""
"    Estimate","109,525"
"Census Tract 265.08; Hennepin County; Minnesota",""
"    Estimate","121,397"
"Census Tract 265.09; Hennepin County; Minnesota",""
"    Estimate","162,943"
"Census Tract 265.10; Hennepin County; Minnesota",""
"    Estimate","82,938"
"Census Tract 265.11; Hennepin County; Minnesota",""
"    Estimate","82,974"
"Census Tract 265.14; Hennepin County; Minnesota",""
"    Estimate","97,426"
"Census Tract 265.15; Hennepin County; Minnesota",""
"    Estimate","85,917"
"Census Tract 265.16; Hennepin County; Minnesota",""
"    Estimate","97,661"
"Census Tract 266.05; Hennepin County; Minnesota",""
"    Estimate","151,202"
"Census Tract 266.06; Hennepin County; Minnesota",""
"    Estimate","143,165"
"Census Tract 266.09; Hennepin County; Minnesota",""
"    Estimate","129,007"
"Census Tract 266.10; Hennepin County; Minnesota",""
"    Estimate","154,618"
"Census Tract 266.11; Hennepin County; Minnesota",""
"    Estimate","84,877"
"Census Tract 266.14; Hennepin County; Minnesota",""
"    Estimate","162,344"
"Census Tract 266.15; Hennepin County; Minnesota",""
"    Estimate","177,341"
"Census Tract 266.16; Hennepin County; Minnesota",""
"    Estimate","204,583"
"Census Tract 266.17; Hennepin County; Minnesota",""
"    Estimate","115,500"
"Census Tract 267.02; Hennepin County; Minnesota",""
"    Estimate","65,463"
"Census Tract 267.06; Hennepin County; Minnesota",""
"    Estimate","103,654"
"Census Tract 267.07; Hennepin County; Minnesota",""
"    Estimate","113,798"
"Census Tract 267.08; Hennepin County; Minnesota",""
"    Estimate","128,785"
"Census Tract 267.11; Hennepin County; Minnesota",""
"    Estimate","98,929"
"Census Tract 267.12; Hennepin County; Minnesota",""
"    Estimate","91,024"
"Census Tract 267.13; Hennepin County; Minnesota",""
"    Estimate","104,431"
"Census Tract 267.17; Hennepin County; Minnesota",""
"    Estimate","111,923"
