"Label (Grouping)","Total:!!Owner occupied","Total:!!Renter occupied"
"    Estimate","739","30"
"Census Tract 230; Hennepin County; Minnesota","",""
"    Estimate","1,155","1,194"
"Census Tract 231; Hennepin County; Minnesota","",""
"    Estimate","691","33"
"Census Tract 232.01; Hennepin County; Minnesota","",""
"    Estimate","403","580"
"Census Tract 232.02; Hennepin County; Minnesota","",""
"    Estimate","183","1,799"
"Census Tract 233; Hennepin County; Minnesota","",""
"    Estimate","1,290","1,882"
"Census Tract 234.01; Hennepin County; Minnesota","",""
"    Estimate","927","1,441"
"Census Tract 234.02; Hennepin County; Minnesota","",""
"    Estimate","331","317"
"Census Tract 235.01; Hennepin County; Minnesota","",""
"    Estimate","1,015","737"
"Census Tract 235.02; Hennepin County; Minnesota","",""
"    Estimate","2,126","488"
"Census Tract 236; Hennepin County; Minnesota","",""
"    Estimate","1,326","147"
"Census Tract 237; Hennepin County; Minnesota","",""
"    Estimate","1,801","330"
"Census Tract 238.01; Hennepin County; Minnesota","",""
"    Estimate","1,651","198"
"Census Tract 238.02; Hennepin County; Minnesota","",""
"    Estimate","901","104"
"Census Tract 239.01; Hennepin County; Minnesota","",""
"    Estimate","1,351","21"
"Census Tract 239.02; Hennepin County; Minnesota","",""
"    Estimate","555","5"
"Census Tract 239.03; Hennepin County; Minnesota","",""
"    Estimate","1,187","283"
"Census Tract 240.03; Hennepin County; Minnesota","",""
"    Estimate","842","1,216"
"Census Tract 240.04; Hennepin County; Minnesota","",""
"    Estimate","1,253","1,591"
"Census Tract 240.05; Hennepin County; Minnesota","",""
"    Estimate","538","1,279"
"Census Tract 240.06; Hennepin County; Minnesota","",""
"    Estimate","797","143"
"Census Tract 241; Hennepin County; Minnesota","",""
"    Estimate","1,125","413"
"Census Tract 242; Hennepin County; Minnesota","",""
"    Estimate","1,163","150"
"Census Tract 243; Hennepin County; Minnesota","",""
"    Estimate","733","1,758"
"Census Tract 244; Hennepin County; Minnesota","",""
"    Estimate","1,197","1,128"
"Census Tract 245; Hennepin County; Minnesota","",""
"    Estimate","822","80"
"Census Tract 246; Hennepin County; Minnesota","",""
"    Estimate","1,093","831"
"Census Tract 247; Hennepin County; Minnesota","",""
"    Estimate","1,050","196"
"Census Tract 248.01; Hennepin County; Minnesota","",""
"    Estimate","730","301"
"Census Tract 248.02; Hennepin County; Minnesota","",""
"    Estimate","476","551"
"Census Tract 249.03; Hennepin County; Minnesota","",""
"    Estimate","424","372"
"Census Tract 249.04; Hennepin County; Minnesota","",""
"    Estimate","994","313"
"Census Tract 251; Hennepin County; Minnesota","",""
"    Estimate","420","1,312"
"Census Tract 252.01; Hennepin County; Minnesota","",""
"    Estimate","768","941"
"Census Tract 252.05; Hennepin County; Minnesota","",""
"    Estimate","1,401","517"
"Census Tract 253.01; Hennepin County; Minnesota","",""
"    Estimate","934","268"
"Census Tract 253.02; Hennepin County; Minnesota","",""
"    Estimate","1,207","933"
"Census Tract 254.01; Hennepin County; Minnesota","",""
"    Estimate","1,285","300"
"Census Tract 254.03; Hennepin County; Minnesota","",""
"    Estimate","926","745"
"Census Tract 256.01; Hennepin County; Minnesota","",""
"    Estimate","626","596"
"Census Tract 256.03; Hennepin County; Minnesota","",""
"    Estimate","1,308","207"
"Census Tract 256.05; Hennepin County; Minnesota","",""
"    Estimate","1,054","752"
"Census Tract 257.02; Hennepin County; Minnesota","",""
"    Estimate","1,528","693"
"Census Tract 257.03; Hennepin County; Minnesota","",""
"    Estimate","581","391"
"Census Tract 257.04; Hennepin County; Minnesota","",""
"    Estimate","1,328","635"
"Census Tract 258.01; Hennepin County; Minnesota","",""
"    Estimate","704","864"
"Census Tract 258.02; Hennepin County; Minnesota","",""
"    Estimate","884","36"
"Census Tract 258.03; Hennepin County; Minnesota","",""
"    Estimate","964","399"
"Census Tract 258.05; Hennepin County; Minnesota","",""
"    Estimate","915","95"
"Census Tract 259.05; Hennepin County; Minnesota","",""
"    Estimate","1,233","297"
"Census Tract 259.06; Hennepin County; Minnesota","",""
"    Estimate","1,821","873"
"Census Tract 259.07; Hennepin County; Minnesota","",""
"    Estimate","2,023","156"
"Census Tract 259.08; Hennepin County; Minnesota","",""
"    Estimate","1,321","579"
"Census Tract 259.09; Hennepin County; Minnesota","",""
"    Estimate","1,142","148"
"Census Tract 260.05; Hennepin County; Minnesota","",""
"    Estimate","1,238","300"
"Census Tract 260.06; Hennepin County; Minnesota","",""
"    Estimate","763","629"
"Census Tract 260.07; Hennepin County; Minnesota","",""
"    Estimate","1,209","895"
"Census Tract 260.13; Hennepin County; Minnesota","",""
"    Estimate","1,643","54"
"Census Tract 260.14; Hennepin County; Minnesota","",""
"    Estimate","1,819","118"
"Census Tract 260.15; Hennepin County; Minnesota","",""
"    Estimate","1,692","221"
"Census Tract 260.19; Hennepin County; Minnesota","",""
"    Estimate","368","1,804"
"Census Tract 260.20; Hennepin County; Minnesota","",""
"    Estimate","1,347","951"
"Census Tract 260.21; Hennepin County; Minnesota","",""
"    Estimate","1,323","185"
"Census Tract 260.23; Hennepin County; Minnesota","",""
"    Estimate","1,256","327"
"Census Tract 260.24; Hennepin County; Minnesota","",""
