"Label (Grouping)","Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"Census Tract 235.02, Hennepin County, Minnesota",""
"    Estimate","112,833"
"Census Tract 236, Hennepin County, Minnesota",""
"    Estimate","194,219"
"Census Tract 237, Hennepin County, Minnesota",""
"    Estimate","101,743"
"Census Tract 238.01, Hennepin County, Minnesota",""
"    Estimate","123,375"
"Census Tract 238.02, Hennepin County, Minnesota",""
"    Estimate","90,781"
"Census Tract 239.01, Hennepin County, Minnesota",""
"    Estimate","121,429"
"Census Tract 239.02, Hennepin County, Minnesota",""
"    Estimate","141,141"
"Census Tract 239.03, Hennepin County, Minnesota",""
"    Estimate","102,344"
"Census Tract 240.03, Hennepin County, Minnesota",""
"    Estimate","72,380"
"Census Tract 240.04, Hennepin County, Minnesota",""
"    Estimate","49,957"
"Census Tract 240.05, Hennepin County, Minnesota",""
"    Estimate","42,368"
"Census Tract 240.06, Hennepin County, Minnesota",""
"    Estimate","119,583"
"Census Tract 241, Hennepin County, Minnesota",""
"    Estimate","66,875"
"Census Tract 242, Hennepin County, Minnesota",""
"    Estimate","77,356"
"Census Tract 243, Hennepin County, Minnesota",""
"    Estimate","40,903"
"Census Tract 244, Hennepin County, Minnesota",""
"    Estimate","35,657"
"Census Tract 245, Hennepin County, Minnesota",""
"    Estimate","74,074"
"Census Tract 246, Hennepin County, Minnesota",""
"    Estimate","53,390"
"Census Tract 247, Hennepin County, Minnesota",""
"    Estimate","60,650"
"Census Tract 248.01, Hennepin County, Minnesota",""
"    Estimate","60,813"
"Census Tract 248.02, Hennepin County, Minnesota",""
"    Estimate","46,815"
"Census Tract 249.01, Hennepin County, Minnesota",""
"    Estimate","67,574"
"Census Tract 249.02, Hennepin County, Minnesota",""
"    Estimate","60,455"
"Census Tract 249.03, Hennepin County, Minnesota",""
"    Estimate","39,549"
"Census Tract 251, Hennepin County, Minnesota",""
"    Estimate","52,147"
"Census Tract 252.01, Hennepin County, Minnesota",""
"    Estimate","45,709"
"Census Tract 252.05, Hennepin County, Minnesota",""
"    Estimate","66,648"
"Census Tract 253.01, Hennepin County, Minnesota",""
"    Estimate","61,929"
"Census Tract 253.02, Hennepin County, Minnesota",""
"    Estimate","46,700"
"Census Tract 254.01, Hennepin County, Minnesota",""
"    Estimate","52,125"
"Census Tract 254.03, Hennepin County, Minnesota",""
"    Estimate","51,786"
"Census Tract 256.01, Hennepin County, Minnesota",""
"    Estimate","54,000"
"Census Tract 256.03, Hennepin County, Minnesota",""
"    Estimate","70,463"
"Census Tract 256.05, Hennepin County, Minnesota",""
"    Estimate","57,500"
"Census Tract 257.01, Hennepin County, Minnesota",""
"    Estimate","70,158"
"Census Tract 257.02, Hennepin County, Minnesota",""
"    Estimate","63,308"
"Census Tract 258.01, Hennepin County, Minnesota",""
"    Estimate","67,746"
"Census Tract 258.02, Hennepin County, Minnesota",""
"    Estimate","84,196"
"Census Tract 258.03, Hennepin County, Minnesota",""
"    Estimate","58,693"
"Census Tract 258.05, Hennepin County, Minnesota",""
"    Estimate","77,969"
"Census Tract 259.03, Hennepin County, Minnesota",""
"    Estimate","78,495"
"Census Tract 259.05, Hennepin County, Minnesota",""
"    Estimate","105,861"
"Census Tract 259.06, Hennepin County, Minnesota",""
