"Label (Grouping)","Total:!!Owner occupied","Total:!!Renter occupied"
"Census Tract 1.01, Hennepin County, Minnesota","",""
"    Estimate","951","134"
"Census Tract 1.02, Hennepin County, Minnesota","",""
"    Estimate","1,132","620"
"Census Tract 3, Hennepin County, Minnesota","",""
"    Estimate","1,184","187"
"Census Tract 6.01, Hennepin County, Minnesota","",""
"    Estimate","1,460","493"
"Census Tract 6.03, Hennepin County, Minnesota","",""
"    Estimate","1,268","143"
"Census Tract 11, Hennepin County, Minnesota","",""
"    Estimate","467","463"
"Census Tract 17, Hennepin County, Minnesota","",""
"    Estimate","403","556"
"Census Tract 22, Hennepin County, Minnesota","",""
"    Estimate","164","213"
"Census Tract 24, Hennepin County, Minnesota","",""
"    Estimate","346","1,005"
"Census Tract 27, Hennepin County, Minnesota","",""
"    Estimate","572","340"
"Census Tract 32, Hennepin County, Minnesota","",""
"    Estimate","457","226"
"Census Tract 33, Hennepin County, Minnesota","",""
"    Estimate","279","440"
"Census Tract 38.01, Hennepin County, Minnesota","",""
"    Estimate","34","1,266"
"Census Tract 38.02, Hennepin County, Minnesota","",""
"    Estimate","0","924"
"Census Tract 59.01, Hennepin County, Minnesota","",""
"    Estimate","30","1,534"
"Census Tract 59.02, Hennepin County, Minnesota","",""
"    Estimate","71","1,016"
"Census Tract 68, Hennepin County, Minnesota","",""
"    Estimate","168","2,037"
"Census Tract 77, Hennepin County, Minnesota","",""
"    Estimate","221","2,606"
"Census Tract 78.01, Hennepin County, Minnesota","",""
"    Estimate","75","511"
"Census Tract 81, Hennepin County, Minnesota","",""
"    Estimate","441","1,426"
"Census Tract 82, Hennepin County, Minnesota","",""
"    Estimate","290","1,558"
"Census Tract 83, Hennepin County, Minnesota","",""
"    Estimate","207","375"
"Census Tract 84, Hennepin County, Minnesota","",""
"    Estimate","406","308"
"Census Tract 85, Hennepin County, Minnesota","",""
"    Estimate","829","966"
"Census Tract 95, Hennepin County, Minnesota","",""
"    Estimate","589","456"
"Census Tract 96, Hennepin County, Minnesota","",""
"    Estimate","964","326"
"Census Tract 106, Hennepin County, Minnesota","",""
"    Estimate","916","291"
"Census Tract 107, Hennepin County, Minnesota","",""
"    Estimate","716","205"
"Census Tract 110, Hennepin County, Minnesota","",""
"    Estimate","1,218","254"
"Census Tract 117.03, Hennepin County, Minnesota","",""
"    Estimate","1,500","107"
"Census Tract 117.04, Hennepin County, Minnesota","",""
"    Estimate","1,175","85"
"Census Tract 118, Hennepin County, Minnesota","",""
"    Estimate","1,838","118"
"Census Tract 119.98, Hennepin County, Minnesota","",""
"    Estimate","1,454","382"
"Census Tract 120.01, Hennepin County, Minnesota","",""
"    Estimate","2,066","415"
"Census Tract 120.03, Hennepin County, Minnesota","",""
"    Estimate","1,211","960"
"Census Tract 121.01, Hennepin County, Minnesota","",""
"    Estimate","557","606"
"Census Tract 121.02, Hennepin County, Minnesota","",""
"    Estimate","1,065","359"
"Census Tract 201.01, Hennepin County, Minnesota","",""
"    Estimate","1,130","51"
"Census Tract 201.02, Hennepin County, Minnesota","",""
"    Estimate","761","361"
"Census Tract 202.01, Hennepin County, Minnesota","",""
"    Estimate","277","527"
"Census Tract 202.02, Hennepin County, Minnesota","",""
"    Estimate","712","1,167"
"Census Tract 203.01, Hennepin County, Minnesota","",""
"    Estimate","671","145"
"Census Tract 203.02, Hennepin County, Minnesota","",""
"    Estimate","552","383"
"Census Tract 203.03, Hennepin County, Minnesota","",""
"    Estimate","986","179"
"Census Tract 203.04, Hennepin County, Minnesota","",""
"    Estimate","676","445"
"Census Tract 204, Hennepin County, Minnesota","",""
"    Estimate","972","979"
"Census Tract 205, Hennepin County, Minnesota","",""
"    Estimate","943","233"
"Census Tract 206, Hennepin County, Minnesota","",""
"    Estimate","509","214"
"Census Tract 207, Hennepin County, Minnesota","",""
"    Estimate","1,444","342"
"Census Tract 208.01, Hennepin County, Minnesota","",""
"    Estimate","711","174"
"Census Tract 208.04, Hennepin County, Minnesota","",""
"    Estimate","818","475"
"Census Tract 209.02, Hennepin County, Minnesota","",""
"    Estimate","853","30"
"Census Tract 209.03, Hennepin County, Minnesota","",""
"    Estimate","988","123"
"Census Tract 210.01, Hennepin County, Minnesota","",""
