"Label (Grouping)","Median value (dollars)"
"Census Tract 1.01, Hennepin County, Minnesota",""
"    Estimate","140,600"
"Census Tract 1.02, Hennepin County, Minnesota",""
"    Estimate","120,100"
"Census Tract 3, Hennepin County, Minnesota",""
"    Estimate","176,000"
"Census Tract 6.01, Hennepin County, Minnesota",""
"    Estimate","199,000"
"Census Tract 6.03, Hennepin County, Minnesota",""
"    Estimate","228,700"
"Census Tract 11, Hennepin County, Minnesota",""
"    Estimate","198,800"
"Census Tract 17, Hennepin County, Minnesota",""
"    Estimate","187,000"
"Census Tract 22, Hennepin County, Minnesota",""
"    Estimate","145,000"
"Census Tract 24, Hennepin County, Minnesota",""
"    Estimate","215,500"
"Census Tract 27, Hennepin County, Minnesota",""
"    Estimate","158,100"
"Census Tract 32, Hennepin County, Minnesota",""
"    Estimate","171,700"
"Census Tract 33, Hennepin County, Minnesota",""
"    Estimate","149,800"
"Census Tract 38, Hennepin County, Minnesota",""
"    Estimate","260,900"
"Census Tract 59.01, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 59.02, Hennepin County, Minnesota",""
"    Estimate","131,300"
"Census Tract 68, Hennepin County, Minnesota",""
"    Estimate","275,000"
"Census Tract 77, Hennepin County, Minnesota",""
"    Estimate","293,300"
"Census Tract 78.01, Hennepin County, Minnesota",""
"    Estimate","118,800"
"Census Tract 81, Hennepin County, Minnesota",""
"    Estimate","311,100"
"Census Tract 82, Hennepin County, Minnesota",""
"    Estimate","209,500"
"Census Tract 83, Hennepin County, Minnesota",""
"    Estimate","224,000"
"Census Tract 84, Hennepin County, Minnesota",""
"    Estimate","202,100"
"Census Tract 85, Hennepin County, Minnesota",""
"    Estimate","179,300"
"Census Tract 95, Hennepin County, Minnesota",""
"    Estimate","189,600"
"Census Tract 96, Hennepin County, Minnesota",""
"    Estimate","202,600"
"Census Tract 106, Hennepin County, Minnesota",""
"    Estimate","590,000"
"Census Tract 107, Hennepin County, Minnesota",""
"    Estimate","491,100"
"Census Tract 110, Hennepin County, Minnesota",""
"    Estimate","236,100"
"Census Tract 117.03, Hennepin County, Minnesota",""
"    Estimate","341,700"
"Census Tract 117.04, Hennepin County, Minnesota",""
"    Estimate","290,200"
"Census Tract 118, Hennepin County, Minnesota",""
"    Estimate","239,100"
"Census Tract 119.98, Hennepin County, Minnesota",""
"    Estimate","213,200"
"Census Tract 120.01, Hennepin County, Minnesota",""
"    Estimate","272,500"
"Census Tract 120.03, Hennepin County, Minnesota",""
"    Estimate","238,900"
"Census Tract 121.01, Hennepin County, Minnesota",""
"    Estimate","206,700"
"Census Tract 121.02, Hennepin County, Minnesota",""
"    Estimate","189,900"
"Census Tract 201.01, Hennepin County, Minnesota",""
"    Estimate","273,200"
"Census Tract 201.02, Hennepin County, Minnesota",""
"    Estimate","243,200"
"Census Tract 202, Hennepin County, Minnesota",""
"    Estimate","166,000"
"Census Tract 203.01, Hennepin County, Minnesota",""
"    Estimate","166,100"
"Census Tract 203.02, Hennepin County, Minnesota",""
"    Estimate","148,400"
"Census Tract 203.03, Hennepin County, Minnesota",""
"    Estimate","161,800"
"Census Tract 203.04, Hennepin County, Minnesota",""
"    Estimate","166,200"
"Census Tract 204, Hennepin County, Minnesota",""
"    Estimate","166,300"
"Census Tract 205, Hennepin County, Minnesota",""
"    Estimate","147,800"
"Census Tract 206, Hennepin County, Minnesota",""
"    Estimate","146,000"
"Census Tract 207, Hennepin County, Minnesota",""
"    Estimate","165,600"
"Census Tract 208.01, Hennepin County, Minnesota",""
"    Estimate","166,500"
"Census Tract 208.04, Hennepin County, Minnesota",""
"    Estimate","165,700"
"Census Tract 209.02, Hennepin County, Minnesota",""
"    Estimate","206,900"
"Census Tract 209.03, Hennepin County, Minnesota",""
"    Estimate","173,400"
"Census Tract 210.01, Hennepin County, Minnesota",""
"    Estimate","197,700"
"Census Tract 210.02, Hennepin County, Minnesota",""
"    Estimate","230,100"
"Census Tract 211, Hennepin County, Minnesota",""
"    Estimate","168,300"
"Census Tract 212, Hennepin County, Minnesota",""
"    Estimate","219,200"
"Census Tract 213, Hennepin County, Minnesota",""
"    Estimate","159,500"
"Census Tract 214, Hennepin County, Minnesota",""
"    Estimate","179,600"
"Census Tract 215.01, Hennepin County, Minnesota",""
"    Estimate","199,200"
"Census Tract 215.02, Hennepin County, Minnesota",""
"    Estimate","168,500"
"Census Tract 215.03, Hennepin County, Minnesota",""
"    Estimate","221,500"
"Census Tract 215.04, Hennepin County, Minnesota",""
"    Estimate","217,900"
"Census Tract 215.05, Hennepin County, Minnesota",""
"    Estimate","230,200"
"Census Tract 216.01, Hennepin County, Minnesota",""
"    Estimate","255,000"
"Census Tract 216.02, Hennepin County, Minnesota",""
"    Estimate","279,000"
"Census Tract 217, Hennepin County, Minnesota",""
"    Estimate","284,100"
"Census Tract 218, Hennepin County, Minnesota",""
"    Estimate","511,900"
"Census Tract 219, Hennepin County, Minnesota",""
"    Estimate","322,800"
"Census Tract 220, Hennepin County, Minnesota",""
"    Estimate","155,900"
"Census Tract 221.01, Hennepin County, Minnesota",""
"    Estimate","228,300"
"Census Tract 221.02, Hennepin County, Minnesota",""
"    Estimate","242,600"
"Census Tract 222, Hennepin County, Minnesota",""
"    Estimate","238,800"
"Census Tract 223.01, Hennepin County, Minnesota",""
"    Estimate","270,100"
"Census Tract 223.02, Hennepin County, Minnesota",""
"    Estimate","214,200"
"Census Tract 224, Hennepin County, Minnesota",""
"    Estimate","248,100"
"Census Tract 227, Hennepin County, Minnesota",""
"    Estimate","245,300"
"Census Tract 228.01, Hennepin County, Minnesota",""
"    Estimate","481,900"
"Census Tract 228.02, Hennepin County, Minnesota",""
"    Estimate","292,100"
"Census Tract 229.01, Hennepin County, Minnesota",""
"    Estimate","412,300"
"Census Tract 229.02, Hennepin County, Minnesota",""
"    Estimate","392,000"
"Census Tract 230, Hennepin County, Minnesota",""
"    Estimate","289,400"
"Census Tract 231, Hennepin County, Minnesota",""
"    Estimate","582,600"
"Census Tract 232, Hennepin County, Minnesota",""
"    Estimate","289,400"
"Census Tract 233, Hennepin County, Minnesota",""
"    Estimate","228,400"
"Census Tract 234, Hennepin County, Minnesota",""
"    Estimate","153,400"
"Census Tract 235.01, Hennepin County, Minnesota",""
"    Estimate","356,000"
"Census Tract 235.02, Hennepin County, Minnesota",""
"    Estimate","583,000"
"Census Tract 236, Hennepin County, Minnesota",""
"    Estimate","949,500"
"Census Tract 237, Hennepin County, Minnesota",""
"    Estimate","462,600"
"Census Tract 238.01, Hennepin County, Minnesota",""
"    Estimate","486,400"
"Census Tract 238.02, Hennepin County, Minnesota",""
"    Estimate","375,500"
"Census Tract 239.01, Hennepin County, Minnesota",""
"    Estimate","460,100"
"Census Tract 239.02, Hennepin County, Minnesota",""
"    Estimate","685,000"
"Census Tract 239.03, Hennepin County, Minnesota",""
"    Estimate","466,300"
"Census Tract 240.03, Hennepin County, Minnesota",""
"    Estimate","415,700"
"Census Tract 240.04, Hennepin County, Minnesota",""
"    Estimate","162,300"
"Census Tract 240.05, Hennepin County, Minnesota",""
"    Estimate","151,500"
"Census Tract 240.06, Hennepin County, Minnesota",""
"    Estimate","469,500"
"Census Tract 241, Hennepin County, Minnesota",""
"    Estimate","233,200"
"Census Tract 242, Hennepin County, Minnesota",""
"    Estimate","229,200"
"Census Tract 243, Hennepin County, Minnesota",""
"    Estimate","223,000"
"Census Tract 244, Hennepin County, Minnesota",""
"    Estimate","172,900"
"Census Tract 245, Hennepin County, Minnesota",""
"    Estimate","219,100"
"Census Tract 246, Hennepin County, Minnesota",""
"    Estimate","211,500"
"Census Tract 247, Hennepin County, Minnesota",""
"    Estimate","213,500"
"Census Tract 248.01, Hennepin County, Minnesota",""
"    Estimate","206,200"
"Census Tract 248.02, Hennepin County, Minnesota",""
"    Estimate","210,100"
"Census Tract 249.01, Hennepin County, Minnesota",""
"    Estimate","189,100"
"Census Tract 249.02, Hennepin County, Minnesota",""
"    Estimate","195,800"
"Census Tract 249.03, Hennepin County, Minnesota",""
"    Estimate","195,300"
"Census Tract 251, Hennepin County, Minnesota",""
"    Estimate","235,700"
"Census Tract 252.01, Hennepin County, Minnesota",""
"    Estimate","191,700"
"Census Tract 252.05, Hennepin County, Minnesota",""
"    Estimate","197,900"
"Census Tract 253.01, Hennepin County, Minnesota",""
"    Estimate","265,100"
"Census Tract 253.02, Hennepin County, Minnesota",""
"    Estimate","213,400"
"Census Tract 254.01, Hennepin County, Minnesota",""
"    Estimate","185,700"
"Census Tract 254.03, Hennepin County, Minnesota",""
"    Estimate","204,000"
"Census Tract 256.01, Hennepin County, Minnesota",""
"    Estimate","236,700"
"Census Tract 256.03, Hennepin County, Minnesota",""
"    Estimate","238,700"
"Census Tract 256.05, Hennepin County, Minnesota",""
"    Estimate","259,000"
"Census Tract 257.01, Hennepin County, Minnesota",""
"    Estimate","296,200"
"Census Tract 257.02, Hennepin County, Minnesota",""
"    Estimate","270,300"
"Census Tract 258.01, Hennepin County, Minnesota",""
"    Estimate","246,500"
"Census Tract 258.02, Hennepin County, Minnesota",""
"    Estimate","254,600"
"Census Tract 258.03, Hennepin County, Minnesota",""
"    Estimate","228,900"
"Census Tract 258.05, Hennepin County, Minnesota",""
"    Estimate","265,400"
"Census Tract 259.03, Hennepin County, Minnesota",""
"    Estimate","279,100"
"Census Tract 259.05, Hennepin County, Minnesota",""
"    Estimate","360,000"
"Census Tract 259.06, Hennepin County, Minnesota",""
"    Estimate","267,200"
"Census Tract 259.07, Hennepin County, Minnesota",""
"    Estimate","245,500"
"Census Tract 260.05, Hennepin County, Minnesota",""
"    Estimate","296,400"
"Census Tract 260.06, Hennepin County, Minnesota",""
"    Estimate","229,300"
"Census Tract 260.07, Hennepin County, Minnesota",""
"    Estimate","379,000"
"Census Tract 260.13, Hennepin County, Minnesota",""
"    Estimate","325,600"
"Census Tract 260.14, Hennepin County, Minnesota",""
"    Estimate","342,700"
"Census Tract 260.15, Hennepin County, Minnesota",""
"    Estimate","333,500"
"Census Tract 260.16, Hennepin County, Minnesota",""
"    Estimate","310,500"
"Census Tract 260.18, Hennepin County, Minnesota",""
"    Estimate","398,300"
"Census Tract 260.19, Hennepin County, Minnesota",""
"    Estimate","201,800"
"Census Tract 260.20, Hennepin County, Minnesota",""
"    Estimate","266,100"
"Census Tract 260.21, Hennepin County, Minnesota",""
"    Estimate","474,400"
"Census Tract 260.22, Hennepin County, Minnesota",""
"    Estimate","471,600"
"Census Tract 261.01, Hennepin County, Minnesota",""
"    Estimate","325,100"
"Census Tract 261.03, Hennepin County, Minnesota",""
